# Id	IsActive	ProductId	PartNumber	Description	Price	PartLoc	AvailQty	PkgQty	PkgPrice	DSort	CategoryCD	ProdCode
546bc9ef-d060-4026-b1fb-b96f4906ae6a	1	177612db-8c78-492a-ba40-13e6e55d5b5e	CN614CR04PNL	4/40 Thread Nutplate, Non-Locking	5.50	Bin:	00000000000	1	0.00	0.1120CR04PNL	nutplates	CN614
54ed8cd9-6707-4f66-8fb7-3db781e0c0b4	1	b9abc795-0eae-44b0-b842-6e4fc1dddc00	CB8009CR08-1PR	Nutplate	10.43	Bin:	00000000000	1	0.00	0.1640CR08-1PR	nutplates	CB8009
551e977a-6ac5-4dfe-a96b-f2cb8dac1e11	1	ad345bad-efab-4732-8771-99502d11ffe1	CS62-832-14CR	Small base stud	4.21	Bin:	00000000000	1	0.00	0.1640-832-14CR	studsandstands	CS62
5547a81a-2c68-4fb1-8c89-b350b3258cb7	1	8b450172-c183-4867-be8a-6cb88c09a5e4	CB5001CRA08-8	Standoff	10.06	Bin:	00000000000	1	0.00	0.1640CRA08-8	studsandstands	CB5001
55cb8dff-a0a0-4157-9192-a1b74148eae7	1	8b250134-c490-44a0-b506-2cafea6e68fb	CN125-832-16CR	Standoff	4.98	Bin:	00000000000	1	0.00	0.1640-832-16CR	studsandstands	CN125
56dfa4da-9308-4e8f-bb04-6022145d5430	1	208e6c7c-fdcc-43b7-82a1-f89e1a32d27f	CB6007CR3-1P	Nutplate	8.29	Bin:	00000000000	1	0.00	0.1900CR3-1P	nutplates	CB6007
56dff92f-cfb7-439e-8ced-5a1cacf517a6	1	6a5af1de-0eb0-4e4c-bee1-93467e2f9aed	CB9032S6	Plug	1.45	Bin:	00000000000	250	0.00	0.3750S6	tools	CB9032
56f6641e-b47c-43f5-8ca0-0b37cd114aa1	1	54a1af2c-6725-43c7-a006-d9dae3fb41ab	CB2009A3CR	Two-lug nutplate	5.25	Bin:	00000000000	100	0.00		nutplates	CB2009
56fc4b77-86b8-4bf7-98c5-37f47c742e7f	1	42b301ac-dd38-4d4a-afb5-992c481902c7	CB9205V	Loop, strap fastener	23.48	Bin:	00000000000	1	0.00	CB9205VV	mounts	CB9205
5797b920-34c4-4591-84ed-b516eaef0248	1	43b8db6f-afa1-4388-acb9-a5f67e316628	CB3000CRA08-14P	Stud-Primmed base	14.40	Bin:	00000000000	25	0.00		studsandstands	CB3000
57e95012-3032-4152-8e59-0715d883b396	1	0dce4857-64ee-49c9-a0c8-10bba19cfbdf	CB609A3	Stud adapter	204.75	Bin:	00000000000	1	0.00	0.1900A3	tools	CB609
58914f60-a848-444d-ad7b-7cad327fcdd2	1	58b4e300-0948-4a04-b7a9-693006daeed7	CB9077AA3-1430	Bushing	6.75	Bin:	00000000000	1	0.00	0.1900AA3-1430	bushings	CB9077
59b50984-5d1d-4ccd-a343-304d30aefee1	1	058f4b9a-6eb5-49fc-82a1-92a6af2ddb89	CB5007CR4-130	Bushing	5.52	Bin:	00000000000	1	0.00	0.2500CR4-130	bushings	CB5007
5a663bcd-f8cb-47a8-ac7a-547358630be9	1	58b4e300-0948-4a04-b7a9-693006daeed7	CB9077CR4-1000	Bushing, spacer insert, plain counterset	9.00	Bin:	00000000000	1	0.00	0.2500CR4-1000	bushings	CB9077
5b5a7a01-e94f-4eb6-b670-7b7488431f66	1	43b8db6f-afa1-4388-acb9-a5f67e316628	CB3000CRA3-16	Stud	11.47	Bin:	00000000000	25	0.00	0.1900CRA3-16	studsandstands	CB3000
5ba40d6b-1697-47c3-80bc-21423796f4c9	1	c6a4630e-ca15-43ba-927d-494f9c42a4d7	CB4020V3N8	Cable tie mount, right angle	15.04	Bin:	00000000000	1	0.00	0.1900V3N8	mounts	CB4020
5f225df7-ec9d-43a1-9eee-bdf9cdd33750	1	0496eac2-0271-4b6a-809e-36b3e29dce5b	CB4002V3CR16	Standoff	8.16	Bin:	00000000000	1	0.00	0.1900V3CR16	studsandstands	CB4002
5f66d4dc-5be1-4d55-a4d3-4d6b3c4a8d96	1	61c4a463-bdc9-4abf-a0f0-06afa82ce18d	CB602-04	Tester	345.00	Bin:	00000000000	1	0.00	0.1120-04	tools	CB602
602722a2-0c7c-4654-826d-0c83875e5f97	1	2ea83a13-e5db-4c08-8b64-b33106c26c2a	CB9393V5C	Quarter Receptacle w/cap 2600/2700	7.30	Bin:	00000000000	1	0.00	0.3125V5C	mounts	CB9393
6130de4b-9008-4d79-91de-8c0e8feb07e9	1	0adbd8b8-c345-4a43-a8d1-05e18eb3e5b2	CS125-1032-10CR	10/32-5/8" long stud	5.68	Bin:	00000000000	1	0.00	0.1900-1032-10CR	studsandstands	CS125
615a9157-c832-41d1-aff6-f2bbb088c236	1	ff326f18-7827-47b0-be79-674f7c5d093c	CB4201E3AA32	Standoff, Locking Thread	22.31	Bin:	00000000000	1	0.00	0.1900E3AA32	studsandstands	CB4201
6160daaf-9441-4e03-a36e-f8cb75120373	1	b9abc795-0eae-44b0-b842-6e4fc1dddc00	CB8009CR3-2PR	High-reuse nutplate	6.65	Bin:	00000000000	1	0.00	0.1900CR3-2PR	nutplates	CB8009
61afddcc-89bb-407c-bc4a-a6360f30b3c8	1	0adbd8b8-c345-4a43-a8d1-05e18eb3e5b2	CS125-632-12GCR	Stud, composite base	9.12	Bin:	00000000000	1	0.00	0.1380-632-12GCR	studsandstands	CS125
61dae3b6-6e26-454b-8e0a-5fb4788708d1	1	ad345bad-efab-4732-8771-99502d11ffe1	CS62-1032-12CR	Small base stud	4.21	Bin:	00000000000	1	0.00	0.1900-1032-12CR	studsandstands	CS62
6392bccc-8c32-43e3-b94b-dfa000009401	1	9d961dfb-a348-4553-a660-ee67e666e81b	CS200-1420-32CR	Stud	8.29	Bin:	00000000000	10	0.00	0.2500-1420-32CR	studsandstands	CS200
63b8f58b-0e80-4c74-8ea0-cb3821676d21	1	43b8db6f-afa1-4388-acb9-a5f67e316628	CB3000CRA06-6	Stud	29.19	Bin:	00000000000	25	0.00		studsandstands	CB3000
642f55f0-cf9e-4ecf-bec8-1053bb644493	1	2ea83a13-e5db-4c08-8b64-b33106c26c2a	CB9393V5	Quarter Receptacle 2600/2700	5.44	Bin:	00000000000	1	0.00	0.3125V5	mounts	CB9393
64f6205b-55be-42e1-a6fa-9f1376ac57b4	1	0adbd8b8-c345-4a43-a8d1-05e18eb3e5b2	CS125-832-8CR	8/32-1/2" long stud	4.06	Bin:	00000000000	1	0.00	0.1640-832-8CR	studsandstands	CS125
65db87b4-1509-4aca-bf03-2e5af545b506	1	1446d5c9-cf7d-4e9a-b2b7-faf6a8e2b881	CB4022V3CR12	10/32-3/4" length	8.50	Bin:	00000000000	1	0.00	0.1900V3CR12	mounts	CB4022
6601ee06-1e8d-484d-9753-1a693c00ff31	1	0dce4857-64ee-49c9-a0c8-10bba19cfbdf	CB609B08	Stud adapter	204.75	Bin:	00000000000	1	0.00	0.1640B08	tools	CB609
677069fa-b0ed-4ec6-a76e-c030ea288121	1	0720af83-4c3f-4a29-b6cc-90bbb37d9531	CB81	Slide (CB200-40, CB420-50E)	13.35	Bin:	00000000000	1	0.00	CB81CB81	adhesives	CB100
